Key,Value
location_clear_success,"✅ Standort erfolgreich gelöscht!"
location_confirm_change,"📍 Möchten Sie Ihren Standort von *%s* zu *%s* ändern?"
location_confirm_no_ignore,"❌ Nein, ignorieren"
location_confirm_no_keep,"❌ Nein, aktuellen beibehalten"
location_confirm_set,"📍 Möchten Sie *%s* als Ihren Standort festlegen?"
location_confirm_yes_change,"✅ Ja, Standort ändern"
location_confirm_yes_set,"✅ Ja, als meinen Standort festlegen"
location_input_coords_prompt,"📍 *Standort nach Koordinaten setzen*

Bitte geben Sie Ihre GPS-Koordinaten im Format ein:
`Breitengrad, Längengrad`

Beispiel: `37.7749, -122.4194`"
location_input_name_prompt,"📝 *Standort nach Namen setzen*

Bitte geben Sie Ihren Stadtnamen ein (z.B. ""London"", ""New York"", ""Berlin""):"
location_not_found,"❌ **Standort nicht gefunden**

Konnte keine Daten für ""%s"" finden. Bitte überprüfen Sie die Schreibweise oder versuchen Sie einen anderen Standort."
location_required_notifications,"📍 Bitte setzen Sie zuerst Ihren Standort mit /setlocation bevor Sie Benachrichtigungen einrichten."
location_required_setlocation,"❌ Bitte setzen Sie zuerst einen Standort mit /setlocation"
location_save_success_with_coords,"✅ Standort festgelegt auf *%s, %s*
📍 Koordinaten: %.4f, %.4f"
location_settings_btn_back,"⬅️ Zurück zu Einstellungen"
location_settings_btn_clear,"🗑️ Standort löschen"
location_settings_btn_set_coords,"📍 Standort nach Koordinaten setzen"
location_settings_btn_set_name,"📝 Standort nach Namen setzen"
location_settings_current,"Aktueller Standort"
location_settings_is_set,"Ihr Standort ist eingestellt. Sie können ihn jederzeit aktualisieren."
location_settings_not_set_help,"Sie können Ihren Standort einstellen durch:
• Eingabe eines Stadtnamens
• Teilen Ihres aktuellen GPS-Standorts"
location_settings_option_clear,"Aktuellen Standort löschen"
location_settings_option_gps,"GPS-Standort teilen"
location_settings_option_name,"Neuen Standort nach Namen setzen"
location_settings_options,Optionen
location_settings_title,Standort-Einstellungen
role_admin,Administrator
role_moderator,Moderator
role_user,Benutzer
setlocation_not_found,"❌ Standort '%s' nicht gefunden. Bitte überprüfen Sie die Schreibweise."
setlocation_prompt,"📍 Bitte geben Sie einen Ortsnamen an:

/setlocation London
oder teilen Sie Ihren aktuellen Standort"
setlocation_save_failed,"❌ Speichern des Standorts fehlgeschlagen. Bitte versuchen Sie es erneut."
setlocation_success,"✅ Standort '%s' erfolgreich gespeichert!
📍 Dies ist jetzt Ihr aktueller Standort"
settings_available,"Verfügbare Einstellungen"
settings_current_config,"Aktuelle Konfiguration"
settings_data_export,"📊 Datenexport"
settings_lang_prefs,"🌐 Spracheinstellungen"
settings_language,"🌍 Sprache"
settings_location,"📍 Standort"
settings_location_mgmt,"📍 Standortverwaltung"
settings_not_set,"Nicht gesetzt"
settings_notif_prefs,"🔔 Benachrichtigungseinstellungen"
settings_role,Rolle
settings_status,Status
settings_timezone,"🕐 Zeitzone"
settings_timezone_settings,"🕐 Zeitzoneneinstellungen"
settings_title,"⚙️ **Ihre Einstellungen**"
settings_unit_system,"📏 Einheitensystem"
settings_units,Einheiten
status_active,Aktiv
status_inactive,Inaktiv
subscribe_air_btn,"🌬️ Luftqualität"
subscribe_alerts_btn,"⚠️ Wetter-Warnungen"
subscribe_daily_btn,"🌅 Tägliches Wetter"
subscribe_my_subs_btn,"📋 Meine Abonnements"
subscribe_text,"🔔 *Wetter-Benachrichtigungen*

Richten Sie automatische Wetter-Updates für Ihren Standort ein:

*Verfügbare Abonnement-Typen:*
• 🌅 Tägliches Wetter (Morgen-Zusammenfassung)
• 📊 Wöchentliche Vorhersage (Sonntags-Überblick)
• ⚠️ Wetter-Warnungen (extreme Bedingungen)
• 🌬️ Luftqualitäts-Warnungen (Verschmutzungslevel)

*Benachrichtigungs-Zeitplan:*
• Wählen Sie Ihre bevorzugte Zeit
• Wählen Sie die Benachrichtigungshäufigkeit
• Konfigurieren Sie Warnschwellenwerte"
subscribe_weekly_btn,"📊 Wöchentliche Vorhersage"
timezone_confirm_change,"🕐 Möchten Sie Ihre Zeitzone von *%s* zu *%s* ändern?"
timezone_confirm_no_ignore,"❌ Nein, ignorieren"
timezone_confirm_no_keep,"❌ Nein, aktuelle beibehalten"
timezone_confirm_set,"🕐 Möchten Sie *%s* als Ihre Zeitzone festlegen?"
timezone_confirm_yes_change,"✅ Ja, Zeitzone ändern"
timezone_confirm_yes_set,"✅ Ja, als meine Zeitzone festlegen"
timezone_input_prompt,"🕐 *Zeitzone einstellen*

Bitte geben Sie Ihren Zeitzonennamen ein (z.B. ""Europe/Berlin"", ""America/New_York"", ""Asia/Tokyo""):

Sie finden Zeitzonennamen unter: https://en.wikipedia.org/wiki/List_of_tz_database_time_zones"
timezone_update_failed,"❌ Aktualisierung der Zeitzone fehlgeschlagen. Bitte versuchen Sie es erneut."
timezone_update_success,"✅ Zeitzone aktualisiert auf %s"
unauthorized,"❌ **Zugriff verweigert**

Sie haben keine Berechtigung, diesen Befehl zu verwenden."
units_choose_prompt,"📏 *Wählen Sie Ihre bevorzugten Einheiten:*"
units_imperial,"🌡️ Imperial (°F, mph, Meilen)"
units_metric,"🌡️ Metrisch (°C, km/h, km)"
units_update_failed,"❌ Aktualisierung der Einheiten fehlgeschlagen. Bitte versuchen Sie es erneut."
units_update_success,"✅ Einheiten aktualisiert auf %s"
weather_error,"❌ **Wetterdienst-Fehler**\n\nEntschuldigung, wir konnten gerade keine Wetterdaten abrufen. Bitte versuchen Sie es in ein paar Minuten erneut."
weather_location_needed,"📍 Bitte geben Sie einen Standort an oder setzen Sie Ihren Standort:\n\n/weather London\noder\n/setlocation um Ihren Standort zu setzen"
welcome_message,"🌤️ Willkommen bei **ShoPogoda**!

Ihr persönlicher Wetterassistent für präzise Vorhersagen, Luftqualitätsüberwachung und individuelle Wetterwarnungen.

Für den Einstieg:
• Verwenden Sie /weather für aktuelle Bedingungen
• Verwenden Sie /forecast für 5-Tage-Prognosen
• Verwenden Sie /setlocation um Ihren Standort zu speichern
• Verwenden Sie /settings um Ihre Erfahrung anzupassen

Geben Sie /help ein für alle verfügbaren Befehle."
