export_is_resolved,Is Resolved
export_language,Language
export_location,Location
export_name,Name
export_preparing,"🔄 *Preparing your data export...*

This may take a few moments."
export_pressure,Pressure
export_resolved,Resolved
export_severity,Severity
export_subscriptions,Subscriptions
export_subscriptions_active,Subscriptions (%d active)
export_subscriptions_data_type,📋 Subscriptions
export_temperature,Temperature
export_threshold,Threshold
export_time_of_day,Time Of Day
export_timestamp,Timestamp
export_timezone,Timezone
export_title,Title
export_triggered,Triggered
export_triggered_alerts,Triggered Alerts
export_triggered_alerts_count,Triggered Alerts (%d alerts)
export_type,Export Type
export_type_label,Type
export_units,Units
export_user_id,User ID
export_user_information,User Information
export_username,Username
export_uv_index,UV Index
export_value,Value
export_visibility,Visibility
export_weather_data,Weather Data
export_weather_data_type,🌤️ Weather Data
export_weather_records,Weather Data (%d records)
export_wind_degree,Wind Degree
export_wind_speed,Wind Speed
forecast_error,"❌ **Forecast Service Error**

Sorry, we couldn't fetch forecast data right now. Please try again in a few minutes."
forecast_humidity,💧 Humidity
forecast_location_needed,"📍 Please provide a location or set your location:

/forecast London
or
/setlocation to set your location"
forecast_title,📊 *5-Day Forecast for %s*
forecast_wind,🌬️ Wind
frequency_daily,Daily
frequency_every_3_hours,Every 3 Hours
frequency_every_6_hours,Every 6 Hours
frequency_hourly,Every Hour
frequency_unknown,Unknown
frequency_weekly,Weekly
health_good,✅ Air quality is satisfactory. Enjoy outdoor activities!
health_hazardous,🆘 Health emergency! Stay indoors and avoid all outdoor activities.
health_moderate,⚠️ Acceptable for most people. Sensitive individuals should limit prolonged outdoor exertion.
health_unhealthy,❌ Everyone should limit outdoor activities.
health_unhealthy_sensitive,🚨 Sensitive groups should reduce outdoor activities.
health_very_unhealthy,🔴 Avoid outdoor activities. Wear a mask if you must go outside.
help_addalert,Create custom weather alerts
help_admin_commands,Admin Commands
help_air,Air quality index and pollutants
help_alerts,Smart Alert System
help_basic_commands,Basic Commands
help_broadcast,Send message to all users
help_data_export,Data Export - Export your data in JSON/CSV/TXT formats
help_export_alerts,Alert configurations & history
help_export_complete,Complete data export
help_export_features,Data Export Features
help_export_subscriptions,Notification subscriptions
help_export_weather,Weather data (last 30 days)
help_forecast,5-day weather forecast
help_location_management,Location Management
help_notifications,Notifications & Subscriptions
help_pro_tips,Pro Tips
help_removealert,Remove specific alert
help_setlocation,"Set your location (text, coordinates, or share location)"
help_settings,Settings & Configuration
help_settings_desc,"Open comprehensive settings menu
• Language, units, timezone settings
• Notification preferences management"
help_stats,Bot usage statistics
help_subscribe,Set up weather notifications
help_subscriptions,View active subscriptions
help_support,Support
help_tip_alerts,Set multiple alerts for different conditions
help_tip_export,Export data regularly for backup/compliance
help_tip_location,Share your location for instant weather
help_tip_separation,Separate location and timezone management
help_tip_timezone,Use timezone settings for accurate notifications
help_title,🤖 **ShoPogoda Bot - Available Commands**
help_unsubscribe,Remove notifications
help_users,User management
help_view_alerts,View and manage active alerts
help_weather,Current weather conditions
language_choose,🌐 *Choose your language:*
language_current,🌍 **Current Language:** %s %s
language_select,"🌍 **Select Your Language**

Choose your preferred language for bot messages:"
language_set_error,"❌ **Language Update Failed**

Please try again or contact support."
language_set_success,"✅ **Language Updated**

🌍 Language set to: %s %s

All bot messages will now appear in your selected language!"
listlocations_change_location_btn,📍 Change Location
listlocations_current_weather_btn,🌤️ Current Weather
listlocations_no_location,"📍 No location set.

Use /setlocation to set your location!"
listlocations_set_location_btn,📍 Set Location
listlocations_title,"📍 *Your Current Location:*

🏠 %s"
location_clear_failed,❌ Failed to clear location
location_clear_success,✅ Location cleared successfully!
location_confirm_change,📍 Did you want to change your location from *%s* to *%s*?
location_confirm_no_ignore,"❌ No, just ignore"
location_confirm_no_keep,"❌ No, keep current"
location_confirm_set,📍 Did you want to set *%s* as your location?
location_confirm_yes_change,"✅ Yes, change location"
location_confirm_yes_set,"✅ Yes, set as my location"
location_current_location,"📍 *Your Current Location:*

🏠 %s"
location_input_coords_prompt,"📍 *Set Location by Coordinates*

Please enter your GPS coordinates in the format:
`latitude, longitude`

Example: `37.7749, -122.4194`"
location_input_name_prompt,"📝 *Set Location by Name*

Please type your city name (e.g., ""London"", ""New York"", ""Kyiv""):"
location_no_location_set,"📍 No location set.

Use /setlocation to set your location!"
location_not_found,"❌ **Location Not Found**

Couldn't find data for ""%s"". Please check the spelling or try a different location."
location_required_notifications,📍 Please set your location first using /setlocation before setting up notifications.
location_required_setlocation,❌ Please set a location first using /setlocation
location_save_success_with_coords,"✅ Location set to *%s, %s*
📍 Coordinates: %.4f, %.4f"
location_settings_btn_back,⬅️ Back to Settings
location_settings_btn_clear,🗑️ Clear Location
location_settings_btn_set_coords,📍 Set Location by Coordinates
location_settings_btn_set_name,📝 Set Location by Name
location_settings_current,Current Location
location_settings_is_set,Your location is set. You can update it anytime.
location_settings_not_set_help,"You can set your location by:
• Typing a city name
• Sharing your current GPS location"
location_settings_option_clear,Clear current location
location_settings_option_gps,Share your GPS location
location_settings_option_name,Set a new location by name
location_settings_options,Options
location_settings_title,Location Settings
location_share_prompt,📍 Please share your location using the button below:
role_admin,Administrator
role_moderator,Moderator
role_user,User
setlocation_not_found,❌ Could not find location '%s'. Please check the spelling.
setlocation_prompt,"📍 Please provide a location name:

/setlocation London
or share your current location"
setlocation_save_failed,❌ Failed to save location. Please try again.
setlocation_success,"✅ Location '%s' saved successfully!
📍 This is now your current location"
settings_available,Available Settings
settings_current_config,Current Configuration
settings_data_export,Data export options
settings_lang_prefs,Language preferences
settings_language,🌍 Language
settings_location,📍 Location
settings_location_mgmt,Location management
settings_not_set,Not set
settings_notif_prefs,Notification preferences
settings_role,Role
settings_status,Status
settings_timezone,🕐 Timezone
settings_timezone_settings,Timezone settings
settings_title,⚙️ **Your Settings**
settings_unit_system,Unit system (Metric/Imperial)
settings_units,Units
status_active,Active
status_inactive,Inactive
subscribe_air_btn,🌬️ Air Quality
subscribe_alerts_btn,⚠️ Weather Alerts
subscribe_daily_btn,🌅 Daily Weather
subscribe_my_subs_btn,📋 My Subscriptions
subscribe_text,"🔔 *Weather Notifications*

Set up automatic weather updates for your location:

*Available Subscription Types:*
• 🌅 Daily Weather (morning summary)
• 📊 Weekly Forecast (Sunday overview)
• ⚠️ Weather Alerts (extreme conditions)
• 🌬️ Air Quality Alerts (pollution levels)

*Notification Schedule:*
• Choose your preferred time
• Select notification frequency
• Configure alert thresholds"
subscribe_weekly_btn,📊 Weekly Forecast
subscription_air_created,✅ Air quality subscription created! You'll receive daily air quality updates at 10:00 AM.
subscription_alerts_created,✅ Weather alerts subscription created! You'll receive alert notifications when thresholds are exceeded.
subscription_daily_created,✅ Daily weather subscription created! You'll receive morning updates at 8:00 AM.
subscription_invalid_id,❌ Invalid subscription ID.
subscription_removed,✅ Subscription removed successfully.
subscription_type_alerts,Weather Alerts
subscription_type_daily,Daily Weather
subscription_type_extreme,Extreme Weather
subscription_type_unknown,Unknown
subscription_type_weekly,Weekly Forecast
subscription_weekly_created,✅ Weekly weather subscription created! You'll receive updates every Sunday at 9:00 AM.
subscriptions_active,"📋 *Your Active Subscriptions:*

"
subscriptions_none,"📋 You have no active subscriptions.

Use /subscribe to create new subscriptions."
timezone_confirm_change,🕐 Did you want to change your timezone from *%s* to *%s*?
timezone_confirm_no_ignore,"❌ No, just ignore"
timezone_confirm_no_keep,"❌ No, keep current"
timezone_confirm_set,🕐 Did you want to set *%s* as your timezone?
timezone_confirm_yes_change,"✅ Yes, change timezone"
timezone_confirm_yes_set,"✅ Yes, set as my timezone"
timezone_input_prompt,"🕐 *Set Timezone*

Please type your timezone name (e.g., ""Europe/Kyiv"", ""America/New_York"", ""Asia/Tokyo""):

You can find timezone names at: https://en.wikipedia.org/wiki/List_of_tz_database_time_zones"
timezone_update_failed,❌ Failed to update timezone setting. Please try again.
timezone_update_success,✅ Timezone updated to %s
unauthorized,"❌ **Access Denied**

You don't have permission to use this command."
units_choose_prompt,📏 *Choose your preferred units:*
units_imperial,"🌡️ Imperial (°F, mph, miles)"
units_imperial_text,"🌡️ Imperial (°F, mph, miles)"
units_metric,"🌡️ Metric (°C, km/h, km)"
units_metric_text,"🌡️ Metric (°C, km/h, km)"
units_update_failed,❌ Failed to update units setting. Please try again.
units_update_success,✅ Units updated to %s
version_built,🕐 Built: %s
version_commit,🔨 Git Commit: %s
version_divider,---
version_docs,📖 Documentation: [docs/](https://github.com/valpere/shopogoda/tree/main/docs)
version_github,🌐 GitHub: [valpere/shopogoda](https://github.com/valpere/shopogoda)
version_go,⚙️ Go Version: %s
version_support,💬 Support: valentyn.solomko@gmail.com
version_title,🤖 *ShoPogoda Weather Bot*
version_version,📦 Version: %s
weather_air_quality,Air Quality
weather_aqi,🌿 AQI
weather_current_format,"🌤️ *Current Weather in %s*

🌡️ *Temperature:* %.1f°C
💨 *Wind:* %.1f km/h
💧 *Humidity:* %d%%
🏗️ *Pressure:* %.0f hPa
👁️ *Visibility:* %.1f km
☀️ *UV Index:* %.0f
☁️ *Description:* %s"
weather_current_title,🌤️ *Current Weather in %s*
weather_error,❌ Failed to get weather for '%s'. Please check the location name.
weather_feels_like,feels like
weather_humidity,💧 Humidity
weather_location_needed,"📍 Please provide a location or set your location:

/weather London
or
/setlocation to set your location"
weather_pressure,🏢 Pressure
weather_temperature,🌡️ Temperature
weather_updated,📅 Updated
weather_uv_index,☀️ UV Index
weather_visibility,👁️ Visibility
weather_wind,🌬️ Wind
welcome_message,"🌤️ Welcome to **ShoPogoda**!

This is a live demo: [More information](https://valpere.github.io/projects/shopogoda/)

Your personal weather assistant for accurate forecasts, air quality monitoring, and custom weather alerts.

To get started:
• Use /weather to check current conditions
• Use /forecast for 5-day predictions
• Use /setlocation to save your location
• Use /settings to customize your experience

Type /help for all available commands."
